detector_ms,tracker_ms,kalman_ms
0.00,2.81,4.24
0.00,0.12,0.07
0.00,0.12,0.06
0.00,0.19,0.08
0.00,0.26,0.08
0.00,0.32,0.12
0.00,0.10,0.05
0.00,0.10,0.06
0.00,0.11,0.08
0.00,0.10,0.06
0.00,0.11,0.06
0.00,0.12,0.08
0.00,0.11,0.06
0.00,0.11,0.06
0.00,0.10,0.05
0.00,0.14,0.06
0.00,0.14,0.05
0.00,0.10,0.06
0.00,0.14,0.06
0.00,0.13,0.06
0.00,0.11,0.07
0.00,0.14,0.07
0.00,0.10,0.05
0.00,0.13,0.06
0.00,0.10,0.05
0.00,0.11,0.06
0.00,0.11,0.06
0.00,0.10,0.05
0.00,0.11,0.06
0.00,0.14,0.06
0.00,0.21,0.05
0.00,0.11,0.06
0.00,0.10,0.06
0.00,0.10,0.06
0.00,0.11,0.06
0.00,0.21,0.06
0.00,0.14,0.06
0.00,0.10,0.05
0.00,0.18,0.06
0.00,0.10,0.05
0.00,0.12,0.06
0.00,0.11,0.06
0.00,0.09,0.05
0.00,0.14,0.07
0.00,0.13,0.07
0.00,0.14,0.07
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.11,0.05
0.00,0.10,0.06
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.12,0.05
0.00,0.11,0.05
0.00,0.12,0.06
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.12,0.05
0.00,0.12,0.05
0.00,0.09,0.05
0.00,0.28,0.07
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.21,0.07
0.00,0.10,0.05
0.00,0.17,0.07
0.00,0.14,0.07
0.00,0.10,0.05
0.00,0.11,0.05
0.00,0.15,0.06
0.00,0.13,0.07
0.00,0.10,0.05
0.00,0.10,0.05
0.00,0.09,0.05
0.00,0.10,0.05
0.00,0.11,0.05
0.00,0.16,0.06
0.00,0.11,0.05
0.00,0.13,0.05
0.00,0.18,0.07
0.00,0.10,0.05
0.00,0.13,0.06
0.00,0.09,0.05
0.00,0.10,0.05
0.00,0.17,0.06
852.46,0.21,0.07
0.00,0.13,0.06
0.00,0.13,0.05
0.00,0.15,0.07
0.00,0.20,0.06
0.00,0.19,0.06
0.00,0.38,0.11
0.00,0.21,0.07
0.00,0.16,0.07
0.00,0.25,0.09
0.00,0.18,0.06
0.00,0.12,0.05
0.00,0.12,0.05
0.00,0.11,0.05
0.00,0.15,0.06
0.00,0.16,0.05
0.00,0.12,0.05
0.00,0.11,0.05
0.00,0.12,0.05
0.00,0.13,0.05
0.00,0.11,0.05
0.00,0.15,0.06
0.00,0.12,0.05
0.00,0.11,0.05
0.00,0.12,0.06
0.00,0.11,0.05
0.00,0.17,0.06
0.00,0.14,0.05
0.00,0.14,0.06
0.00,0.11,0.05
0.00,0.16,0.07
0.00,0.21,0.07
0.00,0.25,0.08
0.00,0.14,0.06
0.00,0.11,0.05
0.00,0.15,0.05
0.00,0.12,0.05
0.00,0.16,0.06
0.00,0.14,0.05
0.00,0.23,0.07
0.00,0.18,0.06
0.00,0.26,0.07
0.00,0.18,0.07
0.00,0.13,0.05
0.00,0.12,0.05
0.00,0.18,0.06
0.00,0.14,0.05
0.00,0.13,0.05
0.00,0.13,0.05
0.00,0.12,0.05
0.00,0.14,0.07
0.00,0.17,0.07
0.00,0.18,0.07
0.00,0.18,0.08
0.00,0.13,0.05
0.00,0.12,0.05
0.00,0.19,0.07
